"","date","country","searches","year"
"1",2004-01-10,"US",2,2004
"2",2004-01-17,"US",2,2004
"3",2004-01-24,"US",3,2004
"4",2004-01-31,"US",2,2004
"5",2004-02-07,"US",3,2004
"6",2004-02-14,"US",2,2004
"7",2004-02-21,"US",3,2004
"8",2004-02-28,"US",4,2004
"9",2004-03-06,"US",2,2004
"10",2004-03-13,"US",4,2004
"11",2004-03-20,"US",5,2004
"12",2004-03-27,"US",6,2004
"13",2004-04-03,"US",2,2004
"14",2004-04-10,"US",3,2004
"15",2004-04-17,"US",5,2004
"16",2004-04-24,"US",3,2004
"17",2004-05-01,"US",2,2004
"18",2004-05-08,"US",3,2004
"19",2004-05-15,"US",3,2004
"20",2004-05-22,"US",2,2004
"21",2004-05-29,"US",3,2004
"22",2004-06-05,"US",2,2004
"23",2004-06-12,"US",3,2004
"24",2004-06-19,"US",6,2004
"25",2004-06-26,"US",4,2004
"26",2004-07-03,"US",3,2004
"27",2004-07-10,"US",2,2004
"28",2004-07-17,"US",3,2004
"29",2004-07-24,"US",4,2004
"30",2004-07-31,"US",4,2004
"31",2004-08-07,"US",3,2004
"32",2004-08-14,"US",2,2004
"33",2004-08-21,"US",1,2004
"34",2004-08-28,"US",2,2004
"35",2004-09-04,"US",3,2004
"36",2004-09-11,"US",3,2004
"37",2004-09-18,"US",4,2004
"38",2004-09-25,"US",2,2004
"39",2004-10-02,"US",3,2004
"40",2004-10-09,"US",1,2004
"41",2004-10-16,"US",3,2004
"42",2004-10-23,"US",3,2004
"43",2004-10-30,"US",2,2004
"44",2004-11-06,"US",47,2004
"45",2004-11-13,"US",17,2004
"46",2004-11-20,"US",14,2004
"47",2004-11-27,"US",6,2004
"48",2004-12-04,"US",8,2004
"49",2004-12-11,"US",8,2004
"50",2004-12-18,"US",3,2004
"51",2004-12-25,"US",3,2004
"52",2005-01-01,"US",3,2005
"53",2005-01-08,"US",2,2005
"54",2005-01-15,"US",2,2005
"55",2005-01-22,"US",2,2005
"56",2005-01-29,"US",2,2005
"57",2005-02-05,"US",3,2005
"58",2005-02-12,"US",4,2005
"59",2005-02-19,"US",4,2005
"60",2005-02-26,"US",4,2005
"61",2005-03-05,"US",1,2005
"62",2005-03-12,"US",3,2005
"63",2005-03-19,"US",1,2005
"64",2005-03-26,"US",2,2005
"65",2005-04-02,"US",3,2005
"66",2005-04-09,"US",1,2005
"67",2005-04-16,"US",1,2005
"68",2005-04-23,"US",3,2005
"69",2005-04-30,"US",4,2005
"70",2005-05-07,"US",2,2005
"71",2005-05-14,"US",3,2005
"72",2005-05-21,"US",3,2005
"73",2005-05-28,"US",1,2005
"74",2005-06-04,"US",2,2005
"75",2005-06-11,"US",1,2005
"76",2005-06-18,"US",3,2005
"77",2005-06-25,"US",2,2005
"78",2005-07-02,"US",3,2005
"79",2005-07-09,"US",3,2005
"80",2005-07-16,"US",2,2005
"81",2005-07-23,"US",2,2005
"82",2005-07-30,"US",2,2005
"83",2005-08-06,"US",2,2005
"84",2005-08-13,"US",1,2005
"85",2005-08-20,"US",2,2005
"86",2005-08-27,"US",2,2005
"87",2005-09-03,"US",1,2005
"88",2005-09-10,"US",3,2005
"89",2005-09-17,"US",1,2005
"90",2005-09-24,"US",2,2005
"91",2005-10-01,"US",4,2005
"92",2005-10-08,"US",1,2005
"93",2005-10-15,"US",2,2005
"94",2005-10-22,"US",3,2005
"95",2005-10-29,"US",2,2005
"96",2005-11-05,"US",3,2005
"97",2005-11-12,"US",4,2005
"98",2005-11-19,"US",1,2005
"99",2005-11-26,"US",2,2005
"100",2005-12-03,"US",2,2005
"101",2005-12-10,"US",1,2005
"102",2005-12-17,"US",2,2005
"103",2005-12-24,"US",3,2005
"104",2005-12-31,"US",2,2005
"105",2006-01-07,"US",2,2006
"106",2006-01-14,"US",1,2006
"107",2006-01-21,"US",1,2006
"108",2006-01-28,"US",2,2006
"109",2006-02-04,"US",2,2006
"110",2006-02-11,"US",2,2006
"111",2006-02-18,"US",2,2006
"112",2006-02-25,"US",2,2006
"113",2006-03-04,"US",3,2006
"114",2006-03-11,"US",1,2006
"115",2006-03-18,"US",3,2006
"116",2006-03-25,"US",2,2006
"117",2006-04-01,"US",2,2006
"118",2006-04-08,"US",1,2006
"119",2006-04-15,"US",1,2006
"120",2006-04-22,"US",1,2006
"121",2006-04-29,"US",1,2006
"122",2006-05-06,"US",2,2006
"123",2006-05-13,"US",2,2006
"124",2006-05-20,"US",1,2006
"125",2006-05-27,"US",2,2006
"126",2006-06-03,"US",2,2006
"127",2006-06-10,"US",2,2006
"128",2006-06-17,"US",1,2006
"129",2006-06-24,"US",2,2006
"130",2006-07-01,"US",2,2006
"131",2006-07-08,"US",1,2006
"132",2006-07-15,"US",1,2006
"133",2006-07-22,"US",2,2006
"134",2006-07-29,"US",1,2006
"135",2006-08-05,"US",2,2006
"136",2006-08-12,"US",3,2006
"137",2006-08-19,"US",1,2006
"138",2006-08-26,"US",3,2006
"139",2006-09-02,"US",2,2006
"140",2006-09-09,"US",2,2006
"141",2006-09-16,"US",2,2006
"142",2006-09-23,"US",3,2006
"143",2006-09-30,"US",1,2006
"144",2006-10-07,"US",2,2006
"145",2006-10-14,"US",1,2006
"146",2006-10-21,"US",1,2006
